74425566,Ifltd1,coronal
70303004,Wdr7,sagittal
75988355,Ctnna3,sagittal
74819231,Prr15l,coronal
70928339,Enox2,coronal
73712762,Mtus1,sagittal
74819249,Cd4,coronal
69113674,Fdps,sagittal
79354786,Pcdhga1,sagittal
71358662,Sdc3,coronal
378546,Hspa12a,sagittal
602,Jam2,coronal
71249067,Pou6f2,coronal
68744642,Ms4a4c,sagittal
68744994,Abi3,sagittal
70539223,Edem3,sagittal
73818841,Agmat,sagittal
74581014,Colec11,sagittal
70919495,Dock8,sagittal
2472,Pde4b,coronal
69133686,Kank1,sagittal
74265327,5730585A16Rik,sagittal
68193052,Exosc4,sagittal
68799059,Mmp17,sagittal
1118,Wrb,sagittal
1351,Esrra,coronal
70303516,Zranb1,sagittal
74579404,Nrsn2,sagittal
74512028,A830036E02Rik,coronal
275873,Tpm3,coronal
75934917,Rps4y2,coronal
68269694,Polr3f,sagittal
69262290,Acox3,sagittal
70231923,C330006K01Rik,sagittal
69608453,Cdkn2aipnl,sagittal
71249079,Glt8d2,coronal
74988343,Thnsl1,coronal
70725013,Nlrp4g,sagittal
73994714,Kcna1,coronal
69202693,Ppfia3,sagittal
71920491,Pcnxl3,sagittal
69514612,Abcc6,sagittal
73748722,F830221A01Rik*,sagittal
69782109,Ndrg4,sagittal
69257331,Gja6,sagittal
70523846,Tspan11,sagittal
70445383,Tmem109,sagittal
75831718,Serpinb12,sagittal
68522356,Dsn1,sagittal
631720,Serp1,sagittal
1261,Pfn2,coronal
79589524,Gabrr2,coronal
69013104,Ubn2,sagittal
73512530,Snx31,sagittal
69735909,Ipo5,sagittal
74720985,Olfr314,sagittal
73521005,Plxnd1,coronal
69289099,Hic1,sagittal
68797721,Ppp1r9a,sagittal
71212563,AI428898,sagittal
71924214,Phactr4,coronal
69288471,Uts2r,sagittal
69859865,Grin3a,sagittal
71020790,Mrpl44,sagittal
986,Snca,coronal
139,Zfp503,sagittal
70596125,LOC381872,sagittal
1416,Sh3bgr,coronal
68162264,Usp46,sagittal
75931540,Bpi,sagittal
72471722,A630091E08Rik,sagittal
70445604,BC003331,sagittal
75831723,Arhgef10l,sagittal
70298208,Dpcr1,sagittal
2413,Mtrr,coronal
70946252,Fbxo41,sagittal
71991756,2310007L24Rik,sagittal
68845257,Elfn1,sagittal
513245,Aifm1,sagittal
68269042,Yme1l1,sagittal
68798938,Nrsn1,sagittal
76081005,Irgc1,sagittal
69528064,Bahd1,sagittal
71496994,Fat1,sagittal
68638023,Thop1,sagittal
80341157,Il2rg,sagittal
74988745,Cpne3,coronal
70787567,Gm2511,sagittal
77887858,Psg16,coronal
70203561,Zfp618,sagittal
68667001,Slc7a6os,sagittal
77869778,Ap1b1,coronal
68744618,Sarnp,sagittal
2516,Pycrl,sagittal
631723,Tmem9b,sagittal
69014830,Klk8,sagittal
69837862,Dach2,sagittal
576434,Aurkaip1,sagittal
80514149,Ceacam10,sagittal
69236646,Slc25a42,sagittal
77869144,Vps35,coronal
74581337,1700016H13Rik,sagittal
78534498,Slc12a1,sagittal
79393541,Dap,sagittal
74734842,Olfr684,sagittal
69105315,Actl6b,sagittal
69751998,Map2k7,sagittal
74822594,1700009N14Rik,sagittal
72004483,Morc4,sagittal
74359562,1700097I19Rik*,sagittal
69262342,Cdk17,sagittal
324212,Dusp1,coronal
68499467,Myoz2,sagittal
856,Ptprd,sagittal
75931435,Ahctf1,sagittal
69860427,Kcnn1,sagittal
77414585,Mmgt1,coronal
69446304,9030203C11Rik,sagittal
69528028,B930095G15Rik,sagittal
67870080,Gtf2f1,coronal
70302848,Tsnaxip1,sagittal
69407696,Pla2g4f,sagittal
71892173,Enkur,sagittal
71579873,Adap2,sagittal
77454578,E2f5,sagittal
68523144,Reg1,sagittal
68546548,Pdk4,sagittal
512998,Shisa5,sagittal
71920267,1810012K16Rik,sagittal
70276813,Fbxl20,sagittal
74578224,Accsl,sagittal
69524473,Dennd4a,sagittal
68410255,Gpx8,sagittal
68843996,Cpsf4,sagittal
70301937,Rtdr1,sagittal
71378309,Cse1l,sagittal
69782252,Nif3l1,sagittal
922,S100b,sagittal
71627816,Ska1,sagittal
70474851,Iqce,sagittal
69014530,Rpl17,sagittal
70795748,Igh-6,sagittal
77792631,Capn10,sagittal
70430714,Dcun1d5,sagittal
356092,Nsf,coronal
69288608,AI854703,sagittal
68445632,Dram1,sagittal
74990490,Gcg,sagittal
